Plataforma,IP,Hostname,Ciudad,Modelo,EoL Status,ios,Version
Móvil,192.168.79.243,RT-TOBERIN-CLNS,Not Info Yet,2801,No Yet Cataloged,IOS,c2801-entbasek9-mz.124-19b
Móvil,192.168.183.27,SW_20ENERO_TEC_A,Not Info Yet,WS-C3650-24TS,No Yet Cataloged,XE,cat3k_caa-universalk9.SPA.03.06.08.E.152-2.E8
Móvil,192.168.183.26,SW_20ENERO_TEC_B,Not Info Yet,WS-C3650-24TS,No Yet Cataloged,XE,cat3k_caa-universalk9.SPA.03.06.08.E.152-2.E8
Móvil,192.168.183.25,SW_20ENERO_TEC_C,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.24.219,SW_ACO_TEC_A,Not Info Yet,WS-C2960+48TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.152-4.E6
Móvil,192.168.24.216,SW_ACO_TEC_B,Not Info Yet,WS-C2960-48TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.251.99,SW_ARA_TEC_C,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,XE,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.255.117,SW_ARA_TEC_IN_A,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.150-2.SE2
Móvil,192.168.255.118,SW_ARA_TEC_IN_B,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.150-2.SE2
Móvil,192.168.61.34,SW_BUC_TEC_IN_A,Not Info Yet,WS-C3750G-24TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-44.SE1
Móvil,192.168.61.58,SW_CCM2TEC_B,Not Info Yet,WS-C2960+24TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.152-4.E6
Móvil,192.168.170.27,SW_CUM_TEC_1,Not Info Yet,WS-C3650-24TS,No Yet Cataloged,XE,"(CAT3K_CAA-UNIVERSALK9-M), Version 03.06.06E"
Móvil,192.168.170.26,SW_CUM_TEC_2,Not Info Yet,WS-C3650-24TS,No Yet Cataloged,XE,"(CAT3K_CAA-UNIVERSALK9-M), Version 03.06.06E"
Móvil,192.168.255.122,SW_FON_TEC_A,Not Info Yet,WS-C3750-24TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.122-25.SEE
Móvil,192.168.255.123,SW_FON_TEC_B,Not Info Yet,WS-C3750-24TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.122-25.SEE
Móvil,192.168.251.54,SW_GBOIP_ACO_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE5/c3560e-universalk9-mz.122-55.SE5
Móvil,192.168.251.55,SW_GBOIP_ACO_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.32,SW_GBOIP_ALK_1,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.33,SW_GBOIP_ALK_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.50,SW_GBOIP_ARA_1,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.51,SW_GBOIP_ARA_2,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
